time,server,avg_bitrate_mode_live,avg_bitrate_mode_vod
2025-01-12 20:01:30,ceimno1-18,4268284.0,2051195.0
2025-01-12 20:01:30,ceimno1-19,3932377.0,3275315.0
2025-01-12 20:01:30,ceimpe1-01,4307547.0,3161577.0
2025-01-12 20:01:30,ceimpe1-02,4595422.0,2420691.0
2025-01-12 20:01:30,ceimpe1-03,4130885.0,2206519.0
2025-01-12 20:01:30,ceimpe1-04,3620429.0,2341740.0
2025-01-12 20:01:30,ceimpe1-05,4118931.0,2873002.0
2025-01-12 20:01:30,ceimpe1-06,3811667.0,2986950.0
2025-01-12 20:01:30,ceimpe1-07,4056329.0,3053601.0
2025-01-12 20:01:30,ceimpe1-08,3759338.0,2883051.0
2025-01-12 20:01:30,ceimpe1-09,3994728.0,2944341.0
2025-01-12 20:01:30,ceimpe1-10,3568527.0,3021127.0
2025-01-12 20:01:30,ceimpe1-11,4073937.0,2643407.0
2025-01-12 20:01:30,ceimpe1-12,3662211.0,3017052.0
2025-01-12 20:01:30,ceimpe1-13,4050164.0,3177471.0
2025-01-12 20:01:30,ceimpe1-14,3662727.0,2834756.0
2025-01-12 20:01:30,ceimpe1-15,4300308.0,3193276.0
2025-01-12 20:01:30,ceimpe1-16,3429357.0,2722470.0
2025-01-12 20:01:30,ceimsm1-01,4084228.0,3617651.0
2025-01-12 20:01:30,ceimsm1-02,4216198.0,3683617.0
2025-01-12 20:01:30,ceimsm1-03,4083879.0,3806561.0
2025-01-12 20:01:30,ceimsm1-04,4056408.0,3627347.0
2025-01-12 20:01:30,ceimsm1-05,4171193.0,3840122.0
2025-01-12 20:01:30,ceimsm1-06,4124869.0,3324059.0
2025-01-12 20:01:30,ceimsm1-07,4232977.0,3397858.0
2025-01-12 20:01:30,ceimsm1-08,4212090.0,3817753.0
2025-01-12 20:01:30,ceimsm1-09,4363435.0,3733914.0
2025-01-12 20:01:30,ceimsm1-10,4356006.0,3475656.0
2025-01-12 20:01:30,ceimsm1-11,4281557.0,3827281.0
2025-01-12 20:01:30,ceimsm1-12,4163817.0,3911935.0
2025-01-12 20:01:30,ceimsm1-13,4218270.0,3621141.0
2025-01-12 20:01:30,ceimsm1-14,4195696.0,3465164.0
2025-01-12 20:01:30,ceimsm1-15,4316575.0,4097918.0
2025-01-12 20:01:30,ceimsm1-16,4183978.0,3558530.0
