time,server,avgtotal
2025-01-12 20:41:00,cecbep1-02,2982832.0
2025-01-12 20:41:30,cecbep1-02,3051552.0
2025-01-12 20:42:00,cecbep1-02,3019408.0
2025-01-12 20:42:30,cecbep1-02,3049614.0
2025-01-12 20:43:00,cecbep1-02,3035481.0
2025-01-12 20:43:30,cecbep1-02,3049081.0
2025-01-12 20:44:00,cecbep1-02,3015183.0
2025-01-12 20:44:30,cecbep1-02,3019356.0
2025-01-12 20:45:00,cecbep1-02,2987523.0
2025-01-12 20:45:30,cecbep1-02,3030366.0
2025-01-12 20:46:00,cecbep1-02,3011403.0
2025-01-12 20:46:30,cecbep1-02,3040150.0
2025-01-12 20:47:00,cecbep1-02,3091250.0
2025-01-12 20:47:30,cecbep1-02,3029336.0
2025-01-12 20:48:00,cecbep1-02,3081167.0
2025-01-12 20:48:30,cecbep1-02,3052761.0
2025-01-12 20:49:00,cecbep1-02,2969941.0
2025-01-12 20:49:30,cecbep1-02,3059097.0
2025-01-12 20:50:00,cecbep1-02,3078525.0
2025-01-12 20:50:30,cecbep1-02,3070133.0
2025-01-12 20:51:00,cecbep1-02,3067933.0
2025-01-12 20:51:30,cecbep1-02,2962576.0
2025-01-12 20:52:00,cecbep1-02,3019691.0
2025-01-12 20:52:30,cecbep1-02,3042713.0
2025-01-12 20:53:00,cecbep1-02,2975997.0
2025-01-12 20:53:30,cecbep1-02,3045214.0
2025-01-12 20:54:00,cecbep1-02,3030153.0
2025-01-12 20:54:30,cecbep1-02,2990832.0
2025-01-12 20:55:00,cecbep1-02,3022284.0
2025-01-12 20:55:30,cecbep1-02,3026750.0
2025-01-12 20:56:00,cecbep1-02,3003100.0
2025-01-12 20:56:30,cecbep1-02,3067700.0
2025-01-12 20:57:00,cecbep1-02,3063535.0
2025-01-12 20:57:30,cecbep1-02,3131596.0
2025-01-12 20:58:00,cecbep1-02,3092026.0
2025-01-12 20:58:30,cecbep1-02,3086940.0
2025-01-12 20:59:00,cecbep1-02,3084572.0
2025-01-12 20:59:30,cecbep1-02,3088763.0
2025-01-12 21:00:00,cecbep1-02,3103953.0
2025-01-12 21:00:30,cecbep1-02,3114675.0
2025-01-12 21:01:00,cecbep1-02,3071199.0
2025-01-12 21:01:30,cecbep1-02,3090838.0
2025-01-12 21:02:00,cecbep1-02,3137455.0
2025-01-12 21:02:30,cecbep1-02,3147037.0
2025-01-12 21:03:00,cecbep1-02,3151306.0
2025-01-12 21:03:30,cecbep1-02,3127157.0
2025-01-12 21:04:00,cecbep1-02,3153731.0
2025-01-12 21:04:30,cecbep1-02,3159297.0
2025-01-12 21:05:00,cecbep1-02,3102643.0
2025-01-12 21:05:30,cecbep1-02,3137423.0
2025-01-12 21:06:00,cecbep1-02,3121681.0
2025-01-12 21:06:30,cecbep1-02,3143248.0
2025-01-12 21:07:00,cecbep1-02,3194253.0
2025-01-12 21:07:30,cecbep1-02,3107006.0
2025-01-12 21:08:00,cecbep1-02,3117306.0
2025-01-12 21:08:30,cecbep1-02,3116642.0
2025-01-12 21:09:00,cecbep1-02,3043111.0
2025-01-12 21:09:30,cecbep1-02,3084705.0
2025-01-12 21:10:00,cecbep1-02,3086279.0
2025-01-12 21:10:30,cecbep1-02,3135368.0
2025-01-12 21:11:00,cecbep1-02,3096443.0
2025-01-12 21:11:30,cecbep1-02,3095856.0
2025-01-12 21:12:00,cecbep1-02,3014948.0
2025-01-12 21:12:30,cecbep1-02,3105639.0
2025-01-12 21:13:00,cecbep1-02,3093096.0
2025-01-12 21:13:30,cecbep1-02,3135946.0
2025-01-12 21:14:00,cecbep1-02,3115673.0
2025-01-12 21:14:30,cecbep1-02,3101412.0
2025-01-12 21:15:00,cecbep1-02,3090172.0
2025-01-12 21:15:30,cecbep1-02,3091664.0
2025-01-12 21:16:00,cecbep1-02,3096906.0
2025-01-12 21:16:30,cecbep1-02,3137237.0
2025-01-12 21:17:00,cecbep1-02,3114339.0
2025-01-12 21:17:30,cecbep1-02,3108716.0
2025-01-12 21:18:00,cecbep1-02,3109975.0
2025-01-12 21:18:30,cecbep1-02,3105195.0
2025-01-12 21:19:00,cecbep1-02,3131344.0
2025-01-12 21:19:30,cecbep1-02,3113848.0
2025-01-12 21:20:00,cecbep1-02,3094937.0
2025-01-12 21:20:30,cecbep1-02,3055831.0
2025-01-12 21:21:00,cecbep1-02,3051529.0
2025-01-12 21:21:30,cecbep1-02,3096813.0
2025-01-12 21:22:00,cecbep1-02,3086200.0
2025-01-12 21:22:30,cecbep1-02,3111668.0
2025-01-12 21:23:00,cecbep1-02,3110541.0
2025-01-12 21:23:30,cecbep1-02,3114668.0
2025-01-12 21:24:00,cecbep1-02,3101158.0
2025-01-12 21:24:30,cecbep1-02,3096421.0
2025-01-12 21:25:00,cecbep1-02,3094747.0
2025-01-12 21:25:30,cecbep1-02,3102115.0
2025-01-12 21:26:00,cecbep1-02,3040488.0
2025-01-12 21:26:30,cecbep1-02,3108062.0
2025-01-12 21:27:00,cecbep1-02,3133684.0
2025-01-12 21:27:30,cecbep1-02,3095838.0
2025-01-12 21:28:00,cecbep1-02,3104212.0
2025-01-12 21:28:30,cecbep1-02,3122387.0
2025-01-12 21:29:00,cecbep1-02,3051780.0
2025-01-12 21:29:30,cecbep1-02,3073900.0
2025-01-12 21:30:00,cecbep1-02,3073469.0
2025-01-12 21:30:30,cecbep1-02,3085923.0
2025-01-12 21:31:00,cecbep1-02,3085219.0
2025-01-12 21:31:30,cecbep1-02,3077420.0
2025-01-12 21:32:00,cecbep1-02,3114882.0
2025-01-12 21:32:30,cecbep1-02,3133824.0
2025-01-12 21:33:00,cecbep1-02,3121488.0
2025-01-12 21:33:30,cecbep1-02,3097087.0
2025-01-12 21:34:00,cecbep1-02,3044851.0
2025-01-12 21:34:30,cecbep1-02,3072696.0
2025-01-12 21:35:00,cecbep1-02,3054466.0
2025-01-12 21:35:30,cecbep1-02,3073000.0
2025-01-12 21:36:00,cecbep1-02,3080723.0
2025-01-12 21:36:30,cecbep1-02,3090229.0
2025-01-12 21:37:00,cecbep1-02,3104988.0
2025-01-12 21:37:30,cecbep1-02,3106952.0
2025-01-12 21:38:00,cecbep1-02,3113685.0
2025-01-12 21:38:30,cecbep1-02,3106359.0
2025-01-12 21:39:00,cecbep1-02,3118739.0
2025-01-12 21:39:30,cecbep1-02,3115397.0
2025-01-12 21:40:00,cecbep1-02,3124957.0
2025-01-12 21:40:30,cecbep1-02,3089970.0
2025-01-12 21:41:00,cecbep1-02,3142212.0
2025-01-12 21:41:30,cecbep1-02,3109258.0
2025-01-12 21:42:00,cecbep1-02,3078775.0
2025-01-12 21:42:30,cecbep1-02,3107578.0
2025-01-12 21:43:00,cecbep1-02,3136261.0
2025-01-12 21:43:30,cecbep1-02,3129111.0
2025-01-12 21:44:00,cecbep1-02,3139128.0
2025-01-12 21:44:30,cecbep1-02,3138000.0
2025-01-12 21:45:00,cecbep1-02,3157066.0
2025-01-12 21:45:30,cecbep1-02,3153759.0
2025-01-12 21:46:00,cecbep1-02,3143594.0
2025-01-12 21:46:30,cecbep1-02,3144881.0
2025-01-12 21:47:00,cecbep1-02,3136716.0
2025-01-12 21:47:30,cecbep1-02,3117802.0
2025-01-12 21:48:00,cecbep1-02,3162119.0
2025-01-12 21:48:30,cecbep1-02,3143088.0
2025-01-12 21:49:00,cecbep1-02,3132544.0
2025-01-12 21:49:30,cecbep1-02,3154540.0
2025-01-12 21:50:00,cecbep1-02,3148230.0
2025-01-12 21:50:30,cecbep1-02,3149458.0
2025-01-12 21:51:00,cecbep1-02,3127763.0
2025-01-12 21:51:30,cecbep1-02,3049032.0
2025-01-12 21:52:00,cecbep1-02,3144953.0
2025-01-12 21:52:30,cecbep1-02,3128319.0
2025-01-12 21:53:00,cecbep1-02,3106344.0
2025-01-12 21:53:30,cecbep1-02,3143073.0
2025-01-12 21:54:00,cecbep1-02,3154842.0
