time,server,avg_bitrate_protocol_dash_live,avg_bitrate_protocol_dash_vod,avg_bitrate_protocol_hls_live,avg_bitrate_protocol_hls_vod,avg_bitrate_protocol_http_vod,avg_bitrate_protocol_iplus_vod,avg_bitrate_protocol_smooth_live,avg_bitrate_protocol_smooth_vod,avg_bitrate_protocol_unknown_live,avg_bitrate_protocol_unknown_vod
2025-01-12 20:00:30,cecmaz1-01,3855226.0,5581731.0,1957888.0,591459.0,,0.0,5099558.0,5085292.0,,0.0
2025-01-12 20:00:30,cecmaz1-02,3880657.0,2499743.0,1819281.0,765467.0,,0.0,5568198.0,5226165.0,,0.0
2025-01-12 20:00:30,cecmaz1-03,3939968.0,5282597.0,1965886.0,697501.0,,,5169428.0,5020170.0,,0.0
2025-01-12 20:00:30,cecmaz1-04,4272002.0,644444.0,2328784.0,1020324.0,,,5683572.0,5140864.0,,0.0
2025-01-12 20:00:30,cecmaz1-05,3854044.0,2732807.0,1939195.0,647497.0,,,5286675.0,5150292.0,,0.0
2025-01-12 20:00:30,cecmaz1-06,3889872.0,426163.0,2008648.0,833879.0,,,5404218.0,4938711.0,,0.0
2025-01-12 20:00:30,cecmaz1-07,3842871.0,5372939.0,2033445.0,970000.0,,,5362248.0,4946725.0,,0.0
2025-01-12 20:00:30,cecmaz1-08,3864862.0,2534067.0,1906609.0,772352.0,,,5213978.0,5097786.0,,0.0
2025-01-12 20:00:30,cecmsm1-01,4147558.0,5016624.0,1979113.0,939268.0,,,5723555.0,5154992.0,,0.0
2025-01-12 20:00:30,cecmsm1-02,4263282.0,2996748.0,2002862.0,1223063.0,,,5606955.0,4993749.0,,0.0
2025-01-12 20:00:30,cecmsm1-03,4160138.0,5408819.0,1960049.0,818235.0,,,5542501.0,5124415.0,,0.0
2025-01-12 20:00:30,cecmsm1-04,4088827.0,2194801.0,1899164.0,1178616.0,,,5690208.0,5043299.0,,0.0
2025-01-12 20:00:30,cecmsm1-05,4178462.0,2994110.0,1929091.0,1098544.0,,,5595451.0,4891553.0,,0.0
2025-01-12 20:00:30,cecmsm1-06,4251400.0,840505.0,2201447.0,1144375.0,,,5825223.0,4831620.0,,0.0
2025-01-12 20:00:30,cecmsm1-07,4039896.0,948656.0,2275977.0,956651.0,,,5595036.0,5033613.0,,0.0
2025-01-12 20:00:30,cecmsm1-08,4245295.0,1265052.0,2291189.0,1211423.0,,,4448650.0,5171484.0,,0.0
2025-01-12 20:00:30,cefsbin3-01,4814071.0,5367983.0,2416520.0,396850.0,,,5828432.0,4997500.0,,0.0
2025-01-12 20:00:30,cefsbin3-02,4854018.0,6688411.0,2320992.0,699358.0,,,5825697.0,4922821.0,,0.0
2025-01-12 20:00:30,cefsbin3-03,4810900.0,5771449.0,2896419.0,415120.0,,,5863020.0,5353642.0,,0.0
2025-01-12 20:00:30,cefsbin3-04,4816103.0,3068646.0,2670143.0,610880.0,,,5829185.0,4505625.0,,0.0
2025-01-12 20:00:30,cefsbin3-05,4781161.0,5855060.0,2114535.0,164331.0,,,5899257.0,5062987.0,,0.0
2025-01-12 20:00:30,cefsbin3-06,4700840.0,6403003.0,2438758.0,617395.0,,,5602274.0,4653076.0,,0.0
2025-01-12 20:00:30,ceihta1-01,4038973.0,3797826.0,2000000.0,817220.0,,,6000000.0,4224137.0,,0.0
2025-01-12 20:00:30,ceihta1-02,4110606.0,2875584.0,2160000.0,218564.0,,,6000000.0,5036465.0,,0.0
2025-01-12 20:00:30,ceihta1-03,4300358.0,3176292.0,1975616.0,722368.0,,,6000000.0,5058536.0,,0.0
2025-01-12 20:00:30,ceihta1-04,3945952.0,6292857.0,2662068.0,392222.0,,,5859558.0,4760521.0,,0.0
2025-01-12 20:00:30,ceihta1-05,4661563.0,96601.0,2540725.0,479183.0,,,,5351851.0,,0.0
2025-01-12 20:00:30,ceihta1-06,4511139.0,6533441.0,2652631.0,356294.0,,,6000000.0,4990625.0,,0.0
2025-01-12 20:00:30,ceihta1-07,4891433.0,6107008.0,2208928.0,367928.0,,,5823529.0,4298461.0,,0.0
2025-01-12 20:00:30,ceihta1-08,4203195.0,2448460.0,1810256.0,220842.0,,,6000000.0,5018032.0,,0.0
2025-01-12 20:00:30,ceihta1-09,4424419.0,897136.0,1679069.0,351604.0,,,4749984.0,5324657.0,,0.0
2025-01-12 20:00:30,ceihta1-10,4444086.0,5075239.0,1885542.0,494269.0,,,6000000.0,4777158.0,,0.0
2025-01-12 20:00:30,ceihta1-11,4209459.0,4260685.0,2869565.0,564114.0,,,5666666.0,5187573.0,,0.0
2025-01-12 20:00:30,ceihta1-12,4689546.0,1482535.0,2016666.0,704299.0,,,4962962.0,4758369.0,,0.0
2025-01-12 20:00:30,ceihta1-13,4237480.0,3965101.0,1680000.0,345774.0,,,5839045.0,5291954.0,,0.0
2025-01-12 20:00:30,ceihta1-14,4467805.0,1639066.0,1914285.0,806580.0,,,5374992.0,5074117.0,,0.0
2025-01-12 20:00:30,ceihta1-15,4137104.0,3391054.0,2800000.0,387412.0,,,6000000.0,5089297.0,,0.0
2025-01-12 20:00:30,ceihta1-16,4053443.0,3227802.0,2715384.0,602959.0,,,5458330.0,5037755.0,,0.0
2025-01-12 20:00:30,ceihta1-17,4403466.0,221559.0,2104453.0,290048.0,,,5878260.0,4640285.0,,0.0
2025-01-12 20:00:30,ceihta1-18,4207598.0,1565224.0,1724444.0,613643.0,,,4926829.0,4955803.0,,0.0
